0	6.24214e-14	0.00014
1	8.39849e-14	0.000154992
2	1.13124e-13	0.000171973
3	1.52552e-13	0.000191259
4	2.05973e-13	0.000213227
5	2.78458e-13	0.000238328
6	3.67747e-13	0.0002671
7	4.68036e-13	0.00030019
8	5.8062e-13	0.000338382
9	7.07069e-13	0.000382626
10	8.53462e-13	0.000434083
11	9.97793e-13	0.000494177
12	1.25562e-12	0.000577971
13	1.56906e-12	0.000676271
14	1.94643e-12	0.00079125
15	2.39927e-12	0.000925733
16	2.91907e-12	0.00108302
17	3.49508e-12	0.00126697
18	4.13659e-12	0.00148208
19	4.85308e-12	0.00173364
20	5.67075e-12	0.0020278
21	6.64787e-12	0.00237972
22	7.75155e-12	0.00279122
23	8.99444e-12	0.00327133
24	1.03912e-11	0.00383107
25	1.19574e-11	0.00448317
26	1.37095e-11	0.0052423
27	1.56646e-11	0.00612538
28	1.78404e-11	0.00715191
29	2.02553e-11	0.00834433
30	2.29278e-11	0.00972847
31	2.58767e-11	0.011334
32	2.9121e-11	0.0131951
33	3.28079e-11	0.0154289
34	3.68535e-11	0.0180249
35	4.12473e-11	0.0210176
36	4.60026e-11	0.0244614
37	5.11321e-11	0.0284177
38	5.66485e-11	0.0329552
39	6.25642e-11	0.0381508
40	6.88923e-11	0.0440905
41	7.5646e-11	0.0508705
42	8.28398e-11	0.0585978
43	9.04888e-11	0.0673917
44	9.86092e-11	0.0773852
45	1.07218e-10	0.0887256
46	1.16335e-10	0.101577
47	1.25979e-10	0.11612
48	1.35677e-10	0.131888
49	1.45682e-10	0.149347
50	1.56295e-10	0.169111
51	1.67552e-10	0.191484
52	1.78899e-10	0.215806
53	1.90546e-10	0.242646
54	2.02958e-10	0.273142
55	2.16195e-10	0.307834
56	2.30323e-10	0.34735
57	2.45415e-10	0.392423
58	2.61551e-10	0.443903
59	2.78818e-10	0.502781
60	2.97313e-10	0.570217
61	3.17139e-10	0.647565
62	3.38415e-10	0.736414
63	3.61265e-10	0.838628
64	3.85832e-10	0.956397
65	4.12268e-10	1.0923
66	4.40744e-10	1.2494
67	4.71448e-10	1.43127
68	5.04587e-10	1.6422
69	5.4039e-10	1.88725
70	5.7911e-10	2.17243
